"nu_Licitacao","cd_UGestora","tp_Licitacao","dt_Homologacao","tp_Objeto","vl_Licitacao","de_Obs"
"000022002",201061,1,"2003-05-09 00:00:00",2,103020000,"Serviços de implantação, operação e disposição final dos resíduos sólidos urbanos."
"000022003",201040,12,"2013-03-09 00:00:00",2,1e+07,"SERVIÇOS PRESTADOS DE DESTINAÇÃO FINAL DE RESIDUOS SOLIDOS NESTE MUNICIPIO."
"000022005",301095,2,"2005-09-09 00:00:00",1,502480,"IMPLANTAÇÃO DE SINALIZAÇÃO HORIZONTAL DE TRANSITO DE SISTEMA DE VIAS."
"000022006",301095,2,"2006-04-11 00:00:00",1,219630,"SINALOZAÇAO VERTICAL"
"000022007",201040,12,"2013-03-09 00:00:00",2,103020000,"SERVIÇOS PRESTADOS DE DESTINAÇÃO FINAL DE RESIDUOS SOLIDOS NESTE MUNICIPIO."
"000022008",201201,1,"2008-12-22 00:00:00",1,2875423.12,"IMPLANTAÇÃO DO SISTEMA DE ESGOTAMENTO SANITÁRIO"
"000022009",301095,2,"2009-07-02 00:00:00",1,234045.58,"PEQUENAS OBRAS"
"000022010",201007,2,"2010-06-30 00:00:00",1,1259757,"CONSTRUÇÃO DE UMA ESCOLA DE  EDUCAÇÃO INFANTIL"
"000022011",201011,2,"2011-12-19 00:00:00",1,413501.59,"Contratação de Empresa especializada em Const.Civil p/ Execução dos serv.de Const.de 02 Unid.Básicas de Saúde"
"000022012",201018,2,"2012-04-09 00:00:00",1,68575.99,"CONTRATACAO DE UMA PESSOA JURIDICA PARA PRESTAR SWERVICOS NA COBNSTRUCAO DE UM MERCADO PUBLICO, NA SEDE, DA CIDADE DE AS"
"000022013",101001,8,"2013-03-02 00:00:00",2,18000,"Servciso de Assessoria Juridica"
"000022014",101001,8,"2014-03-06 00:00:00",2,28000,"CONTRATACAO DOS SERVICOS DE CONTABILIDADE, ASSESSORIA TECNICA CONTABIL, ADMINISTRATIVA E FINANCEIRA PARA A CAMARA MUNICI"
"000022015",101001,2,"2015-05-08 00:00:00",2,9600,"LOCACAO DE SOFTWARE PARA ATENDER O SISTEMA DE CONTABILIDADE E FOLHA DE PAGAMENTO E REALIZACAO DOS SERVICOS DE ATUALIZACA"
"000022016",101002,8,"2016-05-02 00:00:00",2,20000,"SERVICO DE CONSULTORIA JURIDICA ADMINISTRATIVO PRESTADOS A MESA E AS COMISSOES DA CAMARA MUNICIPAL"
"000022104",201207,8,"2014-07-21 00:00:00",2,90000,"A CONTRATACAO DE BANDAS MUSICAIS TENDO COMO OBJETIVO ABRILHANTAR OS FESTEJOS JUNINOS NO MUNICIPIO, QUE SE REALIZARA NO D"
"000032006",301095,2,"2006-03-23 00:00:00",1,435761.07,"CONTRATAÇÃO DE EMPRESA PARA IMPLANTAÇÃO DE PEQUENAS E DIVESIFICADAS OBRAS E SERVIÇOS PARA  DO SISTEMA DO SISTEMA V"
"000032007",301095,2,"2007-04-24 00:00:00",2,97406.67,"aquisiçao de 03 automoveis"
"000032008",301095,0,"2008-04-10 00:00:00",2,35314.34,"aquisiçao de pneus novos para utilitario, carros e motos"
"000032009",301095,2,"2009-08-18 00:00:00",2,576150,"SERVIÇOS DE SINALIZAÇÃO VERTICAL"
"000032010",301095,2,"2010-10-04 00:00:00",2,394274.43,"CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DE PEQUENAS OBRAS PARA MELHORIA DIS SISTEMA VIÁRIO DE JOÃO PESSOA"
"000032011",201014,2,"2013-01-02 00:00:00",1,1138738.2,"REFERENTE AOS SERVIÇOS PRESTADOS NA CONSTRUÇÃO DE UMA ESCOLAR MJUNICIPAL."
"000032012",201001,0,"2013-01-24 00:00:00",2,16500,"Locação de dois veículos tipo camionete para ficarem a disposição das secretarias de Educação e Infraestrutura deste mun"
"000032013",101002,3,"2013-04-12 00:00:00",1,58950,"LOCACAO DE VEICULO."
"000032014",101009,8,"2014-08-01 00:00:00",2,12000,"CONTRATACAO DE PESSOA FISICA E/OU JURIDICA PARA PRESTACAO DE SERVICOS DE CONSULTORIA JURIDICA PARA A CAMARA MUNICIPAL."
"000032015",101008,8,"2015-05-07 00:00:00",2,16000,"PRESTACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE CONSULTORIA E ASSESSORIA JURIDICA COM VISTAS AO ACOMPANHAMENTO DAS PRES"
"000032016",101037,3,"2016-05-31 00:00:00",2,16350,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO PARCIAL DE COMBUSTIVEIS E DERIVADOS DO PETROLEO DESTINADOS AO VEICULO DESTA C"
"000032104",201207,2,"2014-07-15 00:00:00",1,176800.1,"A CONTRATACAO DE 01 ( UMA ) CONSTRUTORA VISANDO A AMPLIACAO DA E.M.E.F. JOAO JOAQUIM DE CASTRO LOCALIZADA NO SITIO CAMPO"
"000042005",606095,1,"2006-03-14 00:00:00",1,4555046.06,"CONSTRUÇÃO DOS SISTEMAS DE INFRA ESTRUTURA, DRENAGEM PLUVIAL, PAVIMENTAÇÃO EM PARALELEPIPADOS, SISTEMA DE ESGOTAMENTO."
"000042006",201210,2,"2013-01-01 00:00:00",1,616446.03,"CONSTRUÇÃO DE 84 UNIDADES HABITACIONAIS NA SEDE DO MUNICÍPIO DE SOSSEGO. OBS.: DATA CORRETA DA HOMOLOGAÇÃO 10/07/2006."
"000042007",301095,2,"2007-06-22 00:00:00",1,381800,"IMPLANTAÇAO DE SINALIZAÇAO HORIZONTAL"
"000042008",301095,0,"2008-04-15 00:00:00",2,23880,"fornecimento de materiais graficos, no prazo de 12 meses com entrega parcelada"
"000042009",301095,11,"2009-03-26 00:00:00",2,10329,"AQUISIÇÃO DE CARTUCHOS PARA IMPRESSORA"
"000042010",201193,2,"2011-01-11 00:00:00",1,196989.47,"Construção de portais de entrada dos acessos as cidade as cidade de Taperoá e São João do Cariri."
"000042011",201025,1,"2012-03-13 00:00:00",2,980000,"Contratação, através de licitação, na modalidade ""concorrência pública"", tipo ""melhor técnica"", de 01 (uma) agência de p"
"000042012",201090,2,"2012-12-01 00:00:00",1,208904.03,"SERVIÇOS DE REFORMA E RECUPERAÇÃO DAS ESTRUTURAS FÍSICAS DE 03 (TRÊS) UBS, ATENDENDO AO REPASSE DO MINISTÉRIO DA SAÚDE/F"
"000042013",101004,3,"2013-07-25 00:00:00",2,6560,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE DESTINADOS À CÂMARA MUNICIPAL"
"000042014",101031,8,"2014-03-06 00:00:00",2,13800,"CONTRATACAO DE PROFISSIONAIS PARA OS SERVICOS  DE INFORMACAO DA GEFIP, GERACAO DA FOLHA DE PAGAMENTO, DIGITACAO DOS EMPE"
"000042015",101004,3,"2015-07-10 00:00:00",2,21805,"CONTRATACAO DE EMPRESA PARA CONFECCAO E INSTALACAO DE MOVEIS E VIDRARIAS SOB MEDIDA PARA MODERNIZACAO DESTA CAMARA"
"000042016",101095,11,"2016-05-23 00:00:00",2,50224,"CONTRATACAO DE EMPRESA ESPECIALIZADA NO RAMO PARA FORNECIMENTO DE EQUIPAMENTOS E MATERIAL DE CONSUMO DESTINADOS A TV CAM"
"000042104",201217,11,"2014-02-14 00:00:00",2,1246000,"AQUISICAO DE COMBUSTIVEIS(ETANOL, GASOLINA E OLEO DIESEL) GRAXAS E LUBRIFICANTES, FORNECIDOS DE FORMA PARCELADA,  DESTIN"
"000052007",301095,2,"2007-06-27 00:00:00",1,122400,"PRESTAÇAO DE SERVIÇOS DE RETIRADAS OU IMPLANTAÇOES DE ABRIGOS DE PASSAGEIROS-MUNCK"
"000052008",301095,0,"2008-04-23 00:00:00",2,23290.98,"aquisiçao de material de expediente com entrega imediata"
"000052009",301050,3,"2009-06-04 00:00:00",2,42000,"SERVIÇOS DE CONSULTORIA DE INVESTIMENTOS."
"000052010",201161,2,"2013-05-20 00:00:00",1,509396.6,"SERVIÇOS DE PAVIMENTAÇÃO EM PARALELEPIPEDOS EM DIVERSAS RUAS DA CIDADE."
"000052011",201046,2,"2011-06-17 00:00:00",1,195114.39,"URBANIZAÇÃO DA PRAÇA CORAÇÃO DE JESUS EM CAJAZEIRAS"
"000052012",201004,12,"2012-03-01 00:00:00",2,503542.85,"AQUISIÇÃO DE MEDICAMENTOS PARA FARMACIA BASICA."
"000052013",101032,3,"2013-02-04 00:00:00",2,10325,"AQUISIÇÃO DE COMBUSTÍVEIS DESTINADOS AO VEÍCULO DESTA CÂMARA"
"000052014",101057,3,"2014-05-02 00:00:00",2,20700,"CONTRATACAO DOS SERVICOS DE LOCACAO E ASSESSORIA DE SOFTWARE PARA ESTA CAMARA MUNICIPAL."
"000052015",101004,3,"2015-10-09 00:00:00",2,62247,"AQUISICAO DE EQUIPAMENTOS E MATERIAL PERMANENTE DESTINADOS A CAMARA MUNICIPAL"
"000052016",101095,11,"2016-05-30 00:00:00",2,23050,"CONTRATACAO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE BATERIAS E CARTOES DE MEMORIA DESTINADOS A TV CAMARA."
"000062006",603095,3,"2006-04-12 00:00:00",2,1103.5,"HOSPEDEAGEM E ALIMENTAÇÃO "
"000062007",301095,2,"2007-08-31 00:00:00",1,477974.25,"implantaçao/execuçao de pequenas e diversificadas obras e serviços para correçao do sistema viario e segurança do transi"
"000062008",201201,2,"2008-05-28 00:00:00",1,392467.69,"PAVIMENTAÇÃO E DRENAGEM URBANA DO BAIRRO DOS PEREIROS"
"000062009",201053,2,"2010-02-03 00:00:00",1,988626.92,"PAVIMENTAÇÃO EM PARALELEPÍPEDO NO DISTRITO DE PASSAGEM"
"000062010",201050,1,"2010-11-22 00:00:00",1,3697053,"EXECUÇÃO DAS OBRAS E SERVIÇOS DE CAPEAMENTO E RECAPEAMENTO ASFÁLTICO EM DIVERSA RUAS NO MUNICÍPIO DE CAMPINA GRANDE/PB"
"000062011",301095,3,"2011-07-06 00:00:00",2,54955,"aquisição com instalação de forros de pvc"
"000062012",201043,2,"2013-10-01 00:00:00",1,178843.71,"REALIZACAO DE OBRA CIVIL PUBLICA DE CONSTRUCAO DE PRACA COM ACADEMIA DE SAUDE."
"000062013",101007,3,"2013-03-08 00:00:00",2,25000,"LOCAÇÃO DE VEICULO PARA OS SERVIÇOS DA CÂMARA MUNICIPAL."
"000062014",101057,3,"2014-05-19 00:00:00",2,16508.5,"AQUISICAO DE MATERIAL DE EXPEDIENTE, DESTINADO A CAMARA MUNICIPAL."
"000062015",101004,3,"2015-10-09 00:00:00",2,12500,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM VEICULACAO DE MATERIAS DE CUNHO JORNALISTICO DE INTERESSE PUBLICO DOS ATOS DO PO"
"000062016",201001,8,"2016-05-11 00:00:00",2,80000,"CONTRATACAO DE EMPRESA IDONEA DETENTORA DE EXCLUSIVIDADE DA BANDA FORRO PEGADO, PARA APRESENTACAO DE SHOW MUSICAL NA PRA"
"000072004",601026,2,"2015-06-04 00:00:00",1,428073.63,"NTRATAÇÃO DE UMA EMPRESA NA AREA DE ENGENHARIA CIVIL PARA A EXECUÇÃO DE OBRA DE CONSTRUÇÃO DE UMA UNIDADE BASICA DE SAUD"
"000072005",301095,2,"2005-12-09 00:00:00",2,8557,"LOCAÇAO DE RADIOS"
"000072006",603095,3,"2006-06-01 00:00:00",2,8100,"Contratação de empresa especializada em locação, montagem, desmontagem de palcos para atender as demandas da FUNJOPE no "
"000072007",301095,2,"2007-10-01 00:00:00",2,83385,"aquisiçao de equipamentos de informatica e eletronicos"
"000072008",301095,0,"2008-05-16 00:00:00",2,98080,"aquisiçao de bens permanentes: motocicletas 250 cc e 02 motocicletas 150 cc"
"000072009",301095,3,"2009-07-23 00:00:00",2,75500,"FORNECIMENTODE LANCHES E REFEIÇÕES"
"000072010",301095,3,"2010-10-22 00:00:00",2,78240,"SERVIÇOS DE CONFECÇÃO DE MATERIAIS GRÁFICOS-TALONÁRIO PARA O SISTEMA DE ESTACIONAMENTO DE ZONA AZUL-AREA AZUL, ÁREA VERD"
"000072011",201188,2,"2012-12-06 00:00:00",1,208920.5,"Execuçao dos serviços de construçao de uma unidade basica de saude no loteamento Nova Canaã nesta cidade de Sao José de "
"000072012",201151,2,"2013-02-25 00:00:00",1,73254.62,"OBRA DE AMPLIACAO DO PSF DA COMUNIDADE DE ARRUDA CAMARA NESTE MUNICIPIO."
"000072013",101025,3,"2013-02-07 00:00:00",2,47432.34,"AQUISICAO DE MATERIAS DE LIMPEZA E GENEROS DE LIMPEZA PARA COPA"
"000072014",101057,3,"2014-05-19 00:00:00",2,48199,"AQUISICAO DE EQUIPAMENTOS DE INFORMATICA E ESCRITORIO, DESTINADO A CAMARA MUNICIPAL."
"000072015",101025,3,"2015-11-11 00:00:00",1,90959.88,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM CONSTRUCAO CIVIL, PARA CONSTRUCAO DE 02 GABINETES, AMPLIACAO DO ARQUIVO, RAMPAS "
"000072016",201001,8,"2016-05-16 00:00:00",2,15000,"CONTRATACAO DE EMPRESA IDONEA DETENTORA DE EXCLUSIVIDADE DA BANDA FEITICO DE MENINA, PARA APRESENTACAO DE SHOW MUSICAL N"
"000082006",301095,2,"2007-08-16 00:00:00",2,275036,"aquisiçao de equipamentos e execuçao de serviços de modernizaçao  da sinalizaçao semaforica"
"000082007",303095,0,"2007-03-26 00:00:00",2,32404.58,"aquisiçao de material de expediente"
"000082008",201107,2,"2008-06-10 00:00:00",1,913740.6,"Pavimentação em Paralelepipedos em Diversas Ruas do Municipio de Lucena  -     "
"000082009",201151,2,"2013-06-01 00:00:00",1,525468.35,"OBRA DE CONSTRUÇÃO DE UNIDADES HABITACIONAIS NO MUNICÍPIO DE POMBAL (HOMOLOGAÇÃO 14/01/2010)."
"000082010",301095,3,"2010-12-15 00:00:00",2,72000,"LOCAÇÃO DE (TRES) MAQUINAS COPIADORAS MULTIFUNCIONAIS"
"000082011",201161,2,"2013-07-01 00:00:00",1,497405.69,"Construção de um parque de vaquejada."
"000082012",201056,2,"2012-07-12 00:00:00",1,163998.05,"REFORMA E AMPLIAÇÃO DO PARQUE DE VAQUEJADA EDUARDO FELIX DE SOUSA"
"000082013",101025,3,"2013-02-08 00:00:00",2,19663.32,"AQUISICAO DE MATERIAS  DE EXPEDIENTES PAPELARIA"
"000082014",101057,3,"2014-05-23 00:00:00",2,16450,"CONTRATACAO DOS SERVICOS DE DIGITALIZACAO EM PDF DE PROCESSOS E EMPENHOS ADMINISTRATIVOS DESTA CAMARA MUNICIPAL."
"000082015",101040,3,"2015-03-04 00:00:00",2,75500,"REPARACAO  E CONFECCAO  DE MOBILIARIO,    DA SEDE , ANEXO I E ANEXO II , COM FORNECIMENTO DE MATERIAL PROPRIO DO CONTRAT"
"000082016",201001,8,"2016-05-16 00:00:00",2,15000,"CONTRATACAO DE EMPRESA IDONEA DETENTORA DE EXCLUSIVIDADE DA BANDA FORROZAO M1000, PARA APRESENTACAO DE SHOW MUSICAL NA P"
"000082104",201008,2,"2014-09-22 00:00:00",1,1449343.69,"CONTRATACAO DE EMPRESA DE ENGENHARIA PARA EXECUCAO DOS SERVICOS DE REVESTIMENTO ASFALTICO COM CONCRETO BETUMINOSO USINAD"
"000092007",301095,3,"2007-04-24 00:00:00",2,27360,"confecçao de talonarios de zona azul"
"000092008",301095,0,"2008-06-06 00:00:00",2,13226,"AQUISIÇAO DE FIOS E CABOS, DESTINADOS A IMPLANTAÇAO E MANUTENÇAO DA REDE SEMAFORICA"
"000092009",301095,11,"2009-06-02 00:00:00",2,35000,"fornecimento de materiais diversos"
"000092010",301095,11,"2010-06-01 00:00:00",2,99000,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, COM REPOSIÇÃO DE PEÇAS PARA FROTA DE VEICULOS"
"000092011",301095,11,"2011-05-26 00:00:00",2,63000,"AQUISIÇÃO DE MATERIAIS DE CONSTRUÇÃO DIVERSOS"
"000092012",201050,1,"2012-10-19 00:00:00",1,9979587055,"OBRAS DE DRENAGEM PLUVIAL, MACRODRENAGEM DA CANALIZAÇÃODO CORREGO DE SANTA ROSA - CAMPINA GRANDE-PB"
"000092013",101025,3,"2013-02-08 00:00:00",2,79200,"CLIPPING DIARIO DE RADIO E TV DE MATERIAS DO INTERESSE DA CAMARA DURANTE O EXERCICIO DE 2013"
"000092014",101057,3,"2014-06-02 00:00:00",2,10220,"CONTRATACAO DOS SERVICOS TECNICOS ESPECIALIZADOS NA ELABORACAO DE UM CONJUNTO DE PAGINAS DE USO EXCLUSIVO NA INTERNET, D"
"000092015",101040,3,"2015-02-25 00:00:00",2,76400,"MANUTENCAO PREDIAL PREVENTIVA E CORRETIVA, COM FORNECIMENTO DE MATERIAL PROPRIO DO CONTRATADO, DAS DEPENDENCIAS DESTA CA"
"000092016",201003,11,"2016-03-16 00:00:00",2,56100,"CONTRATACAO DE SERVICOS DE REPRODUCAO DE FOTOCOPIAS DE DOCUMENTOS, IMPRESSAO, ENCADERNACAO E PLASTIFICACAO, PARA ATENDER"
"000102005",301095,2,"2005-12-27 00:00:00",2,214800,"locaçao de 15(quinze)veiculos utilitarios, tipo pock-up, e 01(um) veiculo utilitario tipo pick-up, com capacidade para 1"
"000102007",303095,0,"2007-03-29 00:00:00",2,53230.64,"aquisiçao de generos alimenticios e descartaveis"
"000102008",301095,0,"2008-07-25 00:00:00",2,60651,"aquisiçao de peças para motocicletas"
"000102009",301095,3,"2009-08-15 00:00:00",2,24260.4,"SERVIÇOS DE RECUPERAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DO SISTEMA VIARIO"
"000102010",301095,11,"2010-06-01 00:00:00",2,23600,"MATERIAL PARA SINALIZAÇÃO E EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL(EPI) PARA MOTOCICLETAS"
"000102011",201130,2,"2013-05-16 00:00:00",2,71379.9,"AQUISIÇAO DE GENEROS ALIMENTICIOS
"
"000102012",201003,10,"2013-01-15 00:00:00",2,132000,"AQUISIÇÃO DE UM ONIBUS VOLARIM V8L."
"000102013",101025,3,"2013-03-14 00:00:00",1,45000,"CONTRATO DE EMPRESA ESPECIALIZADA EM CRIAÇÃO, MANUTENÇÃO DE PORTAL, INSTALAÇÃO E TRANSMISSÃO AO VIVO DAS SESSÕES VIA WEB"
"000102014",101057,3,"2014-06-12 00:00:00",2,17747.78,"AQUISICAO DE GENEROS ALIMENTICIOS, MATERIAIS DE LIMPEZA E HIGIENE DESTINADOS A MANUTENCAO DESTA CAMARA MUNICIPAL."
"000102015",101040,3,"2015-02-24 00:00:00",2,43733,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE PRODUTOS DO GENERO ALIMENTICIO PARA ESTA CASA LEGISLATIVA"
"000102016",101135,11,"2016-05-25 00:00:00",2,106122,"CONTRATACAO VISANDO FORNECIMENTO PARCELADO DE MATERIAL PERMANENTE, PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL DE V"
"000112003",610095,2,"2003-12-23 00:00:00",2,334674.84,"AQUISIÇÃO DE GASES MEDÍCINAIS."
"000112007",301095,3,"2007-04-24 00:00:00",2,18912,"FORNECIMENTO DE AGUA MENERAL"
"000112008",301095,0,"2008-08-18 00:00:00",2,126600,"aquisiçao de combustivel"
"000112009",301095,11,"2009-06-02 00:00:00",2,30720,"CONFECÇÃO DE TALONÁRIOS  DESTINADOS AO ESTACIONAMENTO ZONA AZUL"
"000112010",303095,8,"2011-02-23 00:00:00",2,92928,"PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, COM REPOSIÇÃO DE PEÇAS ORIGINAIS, NOS EQUIPAMENTOS MÉDICO-HO"
"000112011",301095,11,"2011-07-29 00:00:00",2,19849.3,"aquisição de pneus"
"000112012",201095,7,"2012-11-08 00:00:00",2,85000,"PREST. DE SERV. PARA ATENDIMENTO DE 20 CRIANÇAS/ADOLESCENTES AMEAÇADOS DE MORTE."
"000112013",101007,3,"2013-04-18 00:00:00",2,28807,"CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE MÓVEIS E ELETRODOMESTICOS, DESTINADOS A CAMARA MUNICIPAL DE ALGODÃO DE JAN"
"000112014",101057,3,"2014-07-21 00:00:00",2,20008,"AQUISICAO DE COMBUSTIVEIS DESTINADOS AOS VEICULOS DESTA CAMARA MUNICIPAL."
"000112015",101040,3,"2015-03-13 00:00:00",2,76600,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICO DE CONFECCAO  DE MATERIAIS GRAFICOS E FARDAMENTOS PARA ESTA CASA LEGISL"
"000112016",101135,11,"2016-05-24 00:00:00",2,38011.8,"CONTRATACAO VISANDO FORNECIMENTO PARCELADO DE ALIMENTOS NAO PERECIVEIS, PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL"
"000122006",301095,2,"2006-09-13 00:00:00",1,165250.27,"execuçao de obras e serviços para implantaçao  de 02 rotatorias, respectivamente nos bairros valentina de figueredo e er"
"000122007",301095,3,"2007-04-24 00:00:00",2,57900,"CONFECÇAO DE CAMISAS, BONES E FLANELAS"
"000122008",301095,0,"2008-08-27 00:00:00",2,20250,"fornecimento de lanches"
"000122009",301095,3,"2009-10-21 00:00:00",2,26664,"CONTRATAÇÃO DE SERVIÇOS REFERENTE AO FORNECIMENTO E IMPLANTAÇÃO DE GRUPO FOCAL"
"000122010",301095,11,"2010-07-05 00:00:00",2,20810,"EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL PARA MOTOCICLISTAS"
"000122011",301095,11,"2011-08-12 00:00:00",2,8656,"AQUISIÇÃO DE CAFÉ E AÇÚCAR"
"000122012",201175,8,"2013-02-06 00:00:00",2,27500,"CONTRATAÇÃO DE 01 (UM) ESCRITORIO PESSOA JURIDICA, ESPECIALIZADO NA AEREA DE GESTAO PUBLICA."
"000122013",101007,3,"2013-04-18 00:00:00",2,13300,"CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE APARELHOS ELETRONICOS DE SONORIZAÇÃO, DESTINADOS A CAMARA MUNICIPAL DE ALG"
"000122014",101095,11,"2014-12-10 00:00:00",2,36900,"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS DE BUFFET DESTINADOS A CAMARA MUNICIPAL DE JOAO PESSOA."
"000122015",101040,3,"2015-03-17 00:00:00",2,77475,"AQUISICAO DE EQUIPAMENTOS  ELETRODOMESTICO E ELETRO-ELETRONICO PARA ATENDER AS NECESSIDADES DESTA CASA LEGISLATIVA"
"000122016",201002,2,"2016-04-26 00:00:00",2,200704.16,"AQUISICAO DE MEDICAMENTOS PARA FARMACIA BASICA E CENTROS DE SAUDE"
"000132006",301095,2,"2006-10-04 00:00:00",1,156088.43,"EXECUÇAO DE OBRAS E SERVIÇOS DE CONSTRUÇAO CIVIL PARA RECUPERAÇAO DO EDIFICIO SEDE DA STTRANS"
"000132007",301095,3,"2007-05-10 00:00:00",2,35040,"manutençao de ar condicionado e centrais de refrigeraçao"
"000132008",301095,0,"2008-09-09 00:00:00",2,16756.14,"AQUISIÇAO DE MATERIAIS ELETRICOS DE ALTA TENSAO E MEDIÇAO"
"000132009",304095,11,"2009-04-20 00:00:00",2,738000,"Aquisição de Combustíveis"
"000132010",301095,11,"2010-07-13 00:00:00",2,210000,"CONFECÇÃO  E IMPLANTAÇÃO DE TACHAS E TACHÕES RETRO-REFLETIVOS"
"000132011",304095,11,"2011-07-29 00:00:00",2,224765,"Aquisição de Generos Alimentícios."
"000132012",201029,8,"2013-12-30 00:00:00",2,8000,"CONTRATAÇÃO DA BANDA FORRO SAUDADE PARA APRESENTAÇÃO ARTISTICA EM PRAÇA PUBLICA, NO TRADICIONAL REVELLON 2013."
"000132013",101040,3,"2013-04-24 00:00:00",2,10240,"Locação de veículo para Secretaria Legislativa "
"000132014",101135,11,"2014-04-02 00:00:00",2,43450,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO PARCELADO DE DIVISORIAS EM GERAL (GESSO, PERSIANAS E MADEIRAS), PARA ATENDER AS"
"000132015",101040,3,"2015-04-06 00:00:00",2,51080,"AQUISICAO  DE APARELHOS DE TELEFONIA MOVEL PARA ATENDER AS NECESSIDADES DAS ATIVIDADES OPERACIONAIS  DESTA CASA LEGISLAT"
"000132016",201003,11,"2016-04-19 00:00:00",2,93720,"CONTRATACAO DE SERVICOS DE TRANSPORTE DE ESTUDANTES DO MUNICIPIO DE ALAGOA GRANDE."
"000133014",201140,11,"2014-05-22 00:00:00",2,41857,"AQUISICAO DE URNAS FUNERARIAS VESTIMENTAS E TRANSLADOS DIVERSAS, DESTINADO A SECRETARIA DE ACAO SOCIAL DESTE MUNICIPIO"
